AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
3,8,0,9,1,-8,0.4225750408209024,0.7192259388807556,1.0,2.590909090909091,22,971.2550581206624,3,4,H,8,6,1,19,0,40,0.846583344052923,0.47141691321723067,57,1215.7428340882593,2018-2019,0.3111111111111111,0.8666666666666667,0.6666666666666666,1.0,0.8429725170135498,0.052398070693016052,0.10462941229343414
5,11,0,15,2,-3,4.3,6.5,1.25,0.75,5,1094.5998920766554,5,2,A,7,8,0,11,1,-1,3.0,4.0,3,1012.5357578214297,2019-2020,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.19102072715759277,0.61492359638214111,0.1940557062625885
2,13,0,13,3,-5,7.0,8.0,0.0,0.0,0,982.6057024851705,1,3,H,10,16,0,17,1,-3,9.666666666666666,12.0,0,1058.3403236228944,2018-2019,0.0,0.0,0.0,0.0,0.59448057413101196,0.15645283460617065,0.24906659126281738
1,9,0,5,2,-16,0.3149724107667272,0.9844758045678176,1.0,1.7777777777777777,18,970.7122228720665,2,0,A,8,10,0,10,3,8,0.5676036498498792,0.7844693471477049,32,1108.3828013482073,2019-2020,0.24444444444444444,0.6666666666666666,0.3333333333333333,0.7333333333333333,0.68210691213607788,0.076713226735591888,0.24117982387542725
7,6,0,11,0,21,0.48277663628569,0.5866392708565608,2.0434782608695654,1.3043478260869565,47,1148.9100263434918,0,4,H,3,8,0,12,1,-9,0.5195330204420588,0.4687924906094128,30,1012.0661742342446,2018-2019,0.6,0.0,0.7111111111111111,0.6444444444444445,0.22009032964706421,0.59676522016525269,0.18314440548419952
8,12,0,19,3,-27,0.5017088166230853,0.06493503167723949,0.918918918918919,1.4324324324324325,34,970.2803863416309,2,3,H,4,9,0,13,3,7,0.3471507208511089,0.19172739234213848,53,1075.1012723348545,2019-2020,0.0,0.4666666666666667,0.4444444444444444,0.9111111111111111,0.64778029918670654,0.15097332000732422,0.20124639570713043
7,9,0,11,2,-20,0.5015885575998806,0.5365368247972552,0.9545454545454546,1.4545454545454546,21,974.2329017546346,0,0,D,1,14,0,9,1,0,0.4240192055951177,0.7524417286877074,32,1026.269464427752,2018-2019,0.17777777777777778,0.4,0.4666666666666667,0.2222222222222222,0.55029404163360596,0.21637217700481415,0.2333337664604187
7,15,0,17,2,26,0.4789119419253529,0.2408299093127066,1.6857142857142857,1.2,59,1101.1230150538881,2,0,A,2,10,0,13,1,-15,0.368562752540475,0.26825909145710064,42,1008.484732642176,2019-2020,0.6888888888888889,0.6,0.9555555555555556,0.4666666666666667,0.24848948419094086,0.53608852624893188,0.21542195975780487
2,12,0,9,0,5,1.323611111111111,1.5888888888888888,2.142857142857143,0.7142857142857143,15,1107.6024355827174,5,1,A,4,11,0,21,2,-8,2.7854910714285714,1.2839285714285715,5,955.930892267878,2018-2019,0.5,0.1,0.6,0.3888888888888889,0.19737720489501953,0.51177620887756348,0.29084661602973938
2,15,0,8,2,0,1.0515459656084656,1.4639136904761905,1.5,0.875,12,1032.614060819077,0,2,H,11,15,0,19,2,-7,2.2942901234567903,1.6486111111111112,7,997.3871013920312,2019-2020,0.5333333333333333,0.13333333333333333,0.5,0.7,0.39585033059120178,0.29943302273750305,0.30471664667129517
1,3,1,3,0,-2,0.15711804098528284,0.4565969016762228,1.380952380952381,2.380952380952381,29,995.6631202847357,0,3,H,12,6,0,24,1,39,1.1119736905860866,0.46342119289390865,50,1219.9313880295788,2018-2019,0.4222222222222222,0.6666666666666666,0.4666666666666667,0.8666666666666667,0.85682827234268188,0.032492805272340775,0.11067889630794525
1,11,0,9,3,-20,0.5018670897702119,0.5354747056340243,0.7777777777777778,1.0,14,927.0169288067575,0,0,D,12,9,0,31,0,-8,1.6476752581812077,0.3058299054429469,18,974.2164954706029,2018-2019,0.0,0.15555555555555556,0.6,0.28888888888888886,0.51747357845306396,0.19989001750946045,0.2826363742351532
5,8,0,12,0,-26,0.42762371617365164,0.40108776903589743,0.75,1.4814814814814814,21,927.4064649229091,0,1,H,10,12,0,10,0,4,0.3764961121078267,0.5418911390191474,40,1039.491737440592,2019-2020,0.044444444444444446,0.4444444444444444,0.4666666666666667,0.5333333333333333,0.47424262762069702,0.30133640766143799,0.2244209498167038
4,10,0,14,3,-33,0.4282914038345882,0.13361632654141087,0.875,1.0909090909090908,28,929.0191078331588,0,2,H,8,7,0,14,2,-20,0.4217196764831954,0.33846900042864314,36,984.1759375806982,2018-2019,0.2,0.4444444444444444,0.4666666666666667,0.4444444444444444,0.56123441457748413,0.14922958612442017,0.28953596949577332
2,13,0,8,3,-3,1.6065476190476191,3.2458333333333336,1.0,1.3333333333333333,6,986.1097694489786,0,2,H,5,5,0,24,2,-1,3.8404761904761906,2.8833333333333333,8,1095.5630957615297,2019-2020,0.5555555555555556,0.5,0.2222222222222222,0.2777777777777778,0.65575897693634033,0.12670336663722992,0.21753758192062378
5,6,0,4,0,2,0.13675849077167623,0.239513213921963,1.4666666666666666,1.5333333333333334,44,1036.218323668878,0,3,H,10,10,0,15,1,14,0.49723871962360816,0.41440030833185276,46,1090.7306770989294,2019-2020,0.3333333333333333,0.26666666666666666,0.6444444444444445,0.6,0.81775802373886108,0.062143675982952118,0.12009832262992859
5,13,0,14,3,23,0.42904682594473104,0.5875920821208557,1.6666666666666667,0.8181818181818182,55,1100.116673449324,3,0,A,3,7,0,9,2,-26,0.2730464778207857,0.28358024590671443,27,923.6833109631569,2019-2020,0.4444444444444444,0.044444444444444446,0.7777777777777778,0.4,0.12913861870765686,0.70077472925186157,0.17008660733699799
4,16,0,15,0,6,7.083333333333334,13.333333333333334,3.0,1.3333333333333333,9,1191.4019631338049,3,0,A,6,10,0,7,0,2,4.0,9.0,4,1005.2076823821496,2019-2020,1.0,0.1111111111111111,1.0,1.0,0.20941215753555298,0.50888562202453613,0.2817021906375885
5,9,0,20,2,-2,0.6475415206356652,0.07378713970562051,1.4333333333333333,1.9333333333333333,43,1030.3026632106905,1,2,H,3,14,0,8,1,18,0.2737290696384211,0.4856011587910547,58,1142.9470781271868,2018-2019,0.28888888888888886,0.9333333333333333,0.35555555555555557,0.7777777777777778,0.70255202054977417,0.10398706048727036,0.19346089661121368
