AC,AF,AR,AS,AY,A_Goal_Dif,A_Shots_Faced,A_Shots_Total,Average_away_points,Average_home_points,Away_points,Away_points_elo,FTAG,FTHG,FTR,HC,HF,HR,HS,HY,H_Goal_Dif,H_Shots_Faced,H_Shots_Total,Home_points,Home_points_elo,Season,away_streak_away_team,away_streak_home_team,home_streak_away_team,home_streak_home_team,FTR_H_score,FTR_A_score,FTR_D_score
8,7,0,15,1,28,0.8900754900734648,1.021358821322365,2.8823529411764706,2.1666666666666665,49,1255.0031340535702,4,0,A,2,5,0,3,1,27,0.1758673436591493,0.3414795295238368,39,1108.9636993981892,2019-2020,0.8222222222222222,0.9333333333333333,1.0,0.9555555555555556,0.2339002937078476,0.45127561688423157,0.31482404470443726
0,5,0,10,0,-15,0.638544701412437,0.8552599240114301,0.875,1.3125,14,937.2074038803123,2,3,H,5,7,0,17,0,-3,1.0579914501604055,0.9858546527268935,21,1013.1292833650439,2018-2019,0.0,0.4222222222222222,0.7333333333333333,0.2,0.48779386281967163,0.20768424868583679,0.30452188849449158
10,6,0,24,2,23,1.8061423343429792,1.2859926808017086,2.1538461538461537,1.1538461538461537,28,1187.6151160552454,2,2,D,1,4,0,6,1,-9,0.49872516089188956,0.9821522524864539,15,997.5787915822215,2019-2020,0.6666666666666666,0.13333333333333333,0.7333333333333333,0.5111111111111111,0.16687530279159546,0.65895199775695801,0.17417268455028534
1,11,0,9,3,-20,0.5018670897702119,0.5354747056340243,0.7777777777777778,1.0,14,927.0169288067575,0,0,D,12,9,0,31,0,-8,1.6476752581812077,0.3058299054429469,18,974.2164954706029,2018-2019,0.0,0.15555555555555556,0.6,0.28888888888888886,0.54442572593688965,0.17937430739402771,0.27619996666908264
2,9,0,16,2,9,0.7902215896072007,0.594653381751215,1.75,0.9,35,1122.5472050236187,2,0,A,1,10,0,14,1,-12,0.6865324211348087,0.4171808438309833,18,965.6580850663692,2018-2019,0.4666666666666667,0.6444444444444445,0.6,0.6222222222222222,0.21088801324367523,0.55656927824020386,0.23254269361495972
4,14,0,5,1,5,0.18539641765889056,0.3764961121078267,1.5357142857142858,0.8928571428571429,43,1042.9865068143442,0,0,D,12,11,0,14,1,-22,0.4879000660871297,0.1491019165267627,25,927.3473966559449,2019-2020,0.4444444444444444,0.4222222222222222,0.6444444444444445,0.4,0.47978967428207397,0.25187364220619202,0.26833665370941162
5,15,0,10,2,2,0.4075795914414617,0.18948978603654335,1.375,1.25,33,1030.2526929007759,1,0,A,9,9,0,13,3,-6,0.5303840088221016,0.25960022055254134,30,1018.6687276540633,2019-2020,0.6222222222222222,0.24444444444444444,0.4666666666666667,0.6666666666666666,0.57896310091018677,0.19926835596561432,0.22176848351955414
3,9,0,8,1,-18,0.7290223477332852,0.7482681727994227,0.45454545454545453,2.4545454545454546,5,919.875088329097,0,2,H,6,11,0,20,1,16,1.780568720438512,1.3668246452621453,27,1179.2427761577296,2018-2019,0.1111111111111111,0.8222222222222222,0.3333333333333333,0.9111111111111111,0.85850429534912109,0.055745560675859451,0.0857500359416008
7,12,0,19,3,-25,0.8082440283791114,0.397856681098672,0.8260869565217391,1.9130434782608696,19,927.7976439848688,1,2,H,4,14,0,15,3,16,0.6495209078469003,0.5885017883256078,44,1122.557009514275,2018-2019,0.2,0.17777777777777778,0.6222222222222222,1.0,0.80141240358352661,0.084543094038963318,0.11404448002576828
10,10,0,21,2,1,2.1980351631393296,0.980351631393298,1.1111111111111112,0.7777777777777778,10,1074.1574590232535,3,1,A,1,13,0,10,2,-11,1.1426959325396826,1.4269593253968254,7,950.0572048689936,2019-2020,0.23333333333333334,0.022222222222222223,0.6,0.6,0.28339776396751404,0.40787169337272644,0.30873054265975952
3,7,0,9,1,-20,0.3696475377280513,0.6108359809293331,0.96,1.08,24,977.7526437731135,3,1,A,9,8,0,16,1,-9,0.6486743243658541,0.8655324335122061,27,987.0978791613493,2018-2019,0.26666666666666666,0.06666666666666667,0.6888888888888889,0.3111111111111111,0.47111225128173828,0.19973002374172211,0.32915771007537842
4,13,0,6,3,11,1.9361111111111111,5.616666666666667,3.0,1.6,15,1204.215906318287,2,1,A,6,8,0,13,3,0,2.8833333333333333,4.3,8,1104.4182479654883,2019-2020,1.0,0.5,1.0,0.3333333333333333,0.35710373520851135,0.32663676142692566,0.31625944375991821
3,11,0,9,2,0,6.0,9.0,1.5,3.0,3,1003.7987626197594,1,2,H,6,14,0,13,4,4,9.0,14.0,6,1033.2404827769749,2018-2019,1.0,1.0,0.0,1.0,0.51565879583358765,0.22209872305393219,0.26224243640899658
3,16,0,10,4,1,1.7904761904761906,2.533333333333333,1.3333333333333333,0.6666666666666666,8,1009.6829891329106,2,2,D,7,10,0,16,1,-3,2.6871031746031746,2.8097222222222222,4,924.7249692209443,2019-2020,0.16666666666666666,0.0,0.6666666666666666,0.3888888888888889,0.45131537318229675,0.21833637356758118,0.33034828305244446
6,15,0,13,2,23,0.5866392708565608,0.4927032297008962,2.1363636363636362,1.8636363636363635,47,1155.8330578351472,0,2,H,5,13,0,13,0,14,0.5885017883256078,0.5355411314889797,41,1115.6230922838172,2018-2019,0.4,0.17777777777777778,0.7111111111111111,0.7777777777777778,0.39987701177597046,0.2688625156879425,0.33126044273376465
4,10,0,9,2,-14,0.684158784182883,1.2623817627432459,0.7857142857142857,1.0714285714285714,11,935.4343457957538,1,3,H,10,10,0,17,1,-5,1.1703942444607127,0.5559136669106908,15,992.9312388384285,2018-2019,0.1111111111111111,0.5111111111111111,0.4666666666666667,0.5111111111111111,0.55911988019943237,0.18389888107776642,0.25698122382164001
6,11,0,7,1,2,0.3356564800556262,0.7200990412794036,1.3636363636363635,0.8636363636363636,30,1035.274671188703,1,2,H,7,12,0,11,2,-16,0.49466223962848466,0.377231511455147,19,969.6151287375199,2018-2019,0.24444444444444444,0.3111111111111111,0.26666666666666666,0.4,0.39419546723365784,0.33775854110717773,0.26804596185684204
7,7,0,11,2,-2,0.5885349352006786,0.770698704013571,1.368421052631579,2.3684210526315788,26,992.720832918169,3,1,A,6,7,0,10,3,24,0.5289344287528218,0.5786885750564353,45,1171.6219775443487,2018-2019,0.24444444444444444,0.8,0.3333333333333333,0.6666666666666666,0.83595359325408936,0.056972786784172058,0.10707362741231918
3,14,0,7,1,-7,0.29587707164064775,0.9886809342974885,1.0384615384615385,1.2307692307692308,27,974.3856713067362,4,1,A,8,7,0,27,2,-3,1.029472321788874,0.7957526882995928,32,1014.8406559393019,2018-2019,0.4888888888888889,0.6444444444444445,0.26666666666666666,0.26666666666666666,0.53166908025741577,0.22511306405067444,0.2432178258895874
2,10,0,9,4,7,0.5794514334391112,0.8506743684648906,1.4375,1.5,23,1083.3804785973393,2,1,A,11,14,0,18,4,4,1.1100565830811275,0.8709619123791681,24,1051.4762682818618,2019-2020,0.2,0.6444444444444445,0.6888888888888889,0.7333333333333333,0.30954742431640625,0.38360825181007385,0.3068443238735199
3,12,0,17,4,-4,0.6502979741131688,0.5580453010555579,1.3846153846153846,1.3076923076923077,36,1029.309101481073,2,3,H,6,12,0,9,0,2,0.35544751441876954,0.5970828893067771,34,1069.1343313235302,2019-2020,0.4888888888888889,0.3333333333333333,0.6888888888888889,0.3111111111111111,0.55419623851776123,0.20393753051757812,0.24186624586582184
3,8,0,13,3,-2,1.1318254114391266,0.5819049372695205,1.0,1.1818181818181819,11,944.6602494105534,1,2,H,6,17,0,17,4,0,1.6163327220618886,2.3959926647426646,13,1029.7266876554331,2019-2020,0.13333333333333333,0.35555555555555557,0.6222222222222222,0.35555555555555557,0.55681288242340088,0.18524657189846039,0.25794050097465515
3,6,0,6,2,-35,0.22553298997337928,0.5404567092279987,0.5,1.0,14,892.7353798659701,0,1,H,6,11,0,13,2,-12,0.48498501894757384,0.5795805305320687,27,976.5376542237133,2018-2019,0.06666666666666667,0.08888888888888889,0.06666666666666667,0.4222222222222222,0.71807616949081421,0.10646350681781769,0.17546027898788452
2,7,1,3,1,4,0.11496976294879159,0.33412312551495604,1.4285714285714286,2.0357142857142856,40,1077.6042814462135,0,3,H,5,9,0,20,1,37,0.6991332854172745,0.27486527710095926,57,1182.4022820376676,2019-2020,0.3333333333333333,0.7333333333333333,0.8222222222222222,0.9111111111111111,0.78818851709365845,0.052025981247425079,0.15978550910949707
4,9,0,11,1,-7,0.8959469459295848,1.5432572430141875,1.0769230769230769,2.230769230769231,14,997.5233944772132,1,2,H,4,7,0,16,0,23,1.2566482305746318,1.5930752280448461,29,1103.1580444589601,2019-2020,0.06666666666666667,0.4,0.24444444444444444,1.0,0.7140929102897644,0.12294719368219376,0.16295985877513885
6,11,0,16,2,-13,0.448402133160537,0.5908789269398685,1.2777777777777777,0.8611111111111112,46,999.056781256954,2,0,A,12,12,0,11,2,-25,0.30877887779763774,0.4248184785125962,31,961.0322755954907,2019-2020,0.5333333333333333,0.0,0.4888888888888889,0.2222222222222222,0.41507300734519958,0.30663418769836426,0.27829277515411377
10,15,0,19,4,47,0.5644966772968837,0.19288702809404432,2.696969696969697,1.0909090909090908,89,1269.2761279760946,3,1,A,6,7,0,12,1,-9,0.36030337984085986,0.2503149145892357,36,984.7959883224357,2019-2020,0.6444444444444445,0.37777777777777777,1.0,0.3333333333333333,0.16334493458271027,0.63341891765594482,0.20323611795902252
6,13,0,13,2,23,1.5814982914462081,2.8149829144620813,2.5555555555555554,2.3333333333333335,23,1209.173133715039,1,0,A,3,13,0,4,2,9,0.5401201499118166,1.4012014991181658,21,1145.9728498198285,2018-2019,0.7333333333333333,0.7333333333333333,1.0,0.6666666666666666,0.36979201436042786,0.30299699306488037,0.32721099257469177
7,10,0,23,0,8,0.8901774299357833,0.1446131783303654,1.48,1.0,37,1083.093105441932,3,2,A,12,12,0,18,2,-15,0.7210488942325932,0.747271250047424,25,938.0321050141984,2019-2020,0.35555555555555557,0.24444444444444444,0.4666666666666667,0.26666666666666666,0.26704022288322449,0.4423065185546875,0.29065325856208801
5,9,0,12,0,-4,0.5850783900618762,0.28664619129940044,1.35,0.65,27,1023.5086760434526,1,1,D,2,12,0,15,5,-19,0.7282904653227908,0.2940997717786079,13,921.4087574099227,2019-2020,0.35555555555555557,0.3111111111111111,0.3111111111111111,0.1111111111111111,0.4275621771812439,0.31040722131729126,0.26203060150146484
12,11,0,21,0,10,2.8701140873015873,1.9609126984126986,2.4285714285714284,0.7142857142857143,17,1149.091055426281,3,0,A,4,13,0,15,6,-5,2.2119295634920637,2.6954365079365084,5,976.0380198981045,2018-2019,0.8888888888888888,0.3,0.9333333333333333,0.2222222222222222,0.17846359312534332,0.62587583065032959,0.1956605464220047
